restaurant_id,name,cuisine,price_range,rating,is_chain,avg_prep_time_min,image_url,city
1,Modern Cafe,South Indian,mid,4.6,0,20,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80,Bangalore
2,The Urban Kitchen,South Indian,mid,3.4,0,30,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80,Bangalore
3,Famous Eats,Biryani,premium,3.1,1,45,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80,Bangalore
4,The Famous Grill,Street Food,high,4.4,0,40,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80,Bangalore
5,Andhra Table Healthy,Healthy,mid,4.1,0,25,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80,Bangalore
6,New Wok,Healthy,low,4.9,0,15,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80,Bangalore
7,The Great Spoon,South Indian,low,3.5,0,30,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80,Bangalore
8,Andhra Flavor,Biryani,mid,3.3,0,35,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80,Bangalore
9,Udupi Taste Burger,Burger,high,3.7,0,20,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=300&q=80,Bangalore
10,Udupi Savour,Lebanese,high,3.7,0,30,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=400&q=80,Bangalore
11,Madras Oven Biryani,Biryani,low,3.2,0,35,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80,Bangalore
12,The Great Bites,Healthy,premium,4.8,0,35,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80,Bangalore
13,Famous Bistro,Healthy,high,4.6,0,40,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80,Bangalore
14,Royal Wok Burger,Burger,mid,3.6,0,25,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=300&q=80,Bangalore
